Days,Temperature,Humidity,Organic compound(Air) Level,Air Quality Level,Pressure(Kpa),Altitude(m)
,15.5,99.9,1830,1824,1.01,-11.82
,15.5,99.9,1850,1825,1.01,-12.73
,15.5,99.9,1834,1825,1.01,-12.56
,15.5,99.9,1824,1826,1.01,-13.15
,15.5,99.9,1826,1831,1.01,-13.48
,15.5,99.9,1823,1831,1.01,-13.15
,15.5,99.9,1835,1825,1.01,-12.9
,15.5,99.9,1825,1824,1.01,-12.23
,15.5,99.9,1830,1827,1.01,-12.31
,15.5,99.9,1825,1834,1.01,-12.73
,15.5,99.9,1831,1815,1.01,-12.81
,15.5,99.9,1811,1823,1.01,-11.9
,15.5,99.9,1839,1827,1.01,-12.31
,15.5,99.9,1834,1829,1.01,-13.48
,15.5,99.9,1835,1830,1.01,-12.81
,15.5,99.9,1837,1825,1.01,-13.48
,15.5,99.9,1830,1814,1.01,-12.31
,15.5,99.9,1829,1808,1.01,-13.06
,15.5,99.9,1819,1827,1.01,-12.48
,15.5,99.9,1809,1819,1.01,-12.98
,15.5,99.9,1830,1827,1.01,-12.15
,15.5,99.9,1825,1830,1.01,-12.73
,15.5,99.9,1829,1826,1.01,-12.56
,15.5,99.9,1826,1826,1.01,-12.81
,15.5,99.9,1826,1821,1.01,-12.48
,15.5,99.9,1826,1834,1.01,-12.48
,15.5,99.9,1819,1826,1.01,-11.57
,15.5,99.9,1827,1827,1.01,-12.56
,15.5,99.9,1858,1829,1.01,-12.9
,15.5,99.9,1838,1830,1.01,-12.9
,15.5,99.9,1827,1830,1.01,-12.23
,15.5,99.9,1811,1821,1.01,-12.23
,15.5,99.9,1835,1833,1.01,-12.81
,15.5,99.9,1825,1825,1.01,-12.31
,15.5,99.9,1835,1829,1.01,-11.73
,15.5,99.9,1831,1826,1.01,-12.65
,15.5,99.9,1833,1831,1.01,-12.06
,15.5,99.9,1811,1833,1.01,-12.15
,15.5,99.9,1822,1829,1.01,-12.4
,15.5,99.9,1825,1827,1.01,-12.73
,15.5,99.9,1851,1822,1.01,-12.4
,15.5,99.9,1825,1831,1.01,-12.73
,15.5,99.9,1811,1818,1.01,-12.48
,15.5,99.9,1842,1831,1.01,-12.15
,15.5,99.9,1826,1823,1.01,-12.48
,15.5,99.9,1833,1831,1.01,-12.15
,15.5,99.9,1822,1825,1.01,-12.56
,15.5,99.9,1834,1831,1.01,-12.4
,15.5,99.9,1829,1833,1.01,-12.56
,15.5,99.9,1837,1827,1.01,-12.81
,15.5,99.9,1835,1820,1.01,-12.9
,15.5,99.9,1823,1815,1.01,-12.15
,15.5,99.9,1837,1830,1.01,-12.4
,15.5,99.9,1827,1826,1.01,-12.23
,15.5,99.9,1834,1707,1.01,-12.23
,15.5,99.9,1838,1824,1.01,-11.32
,15.5,99.9,1831,1827,1.01,-13.15
,15.5,99.9,1815,1824,1.01,-12.48
,15.5,99.9,1833,1822,1.01,-11.73
,15.5,99.9,1834,1818,1.01,-13.06
,15.5,99.9,1862,1822,1.01,-12.73
,15.5,99.9,1829,1824,1.01,-12.06
,15.5,99.9,1797,1823,1.01,-12.23
,15.5,99.9,1828,1825,1.01,-12.56
,15.5,99.9,1830,1825,1.01,-12.81
,15.5,99.9,1824,1826,1.01,-11.9
,15.5,99.9,1808,1822,1.01,-11.9
,15.5,99.9,1831,1826,1.01,-12.4
,15.5,99.9,1823,1829,1.01,-12.56
,15.5,99.9,1829,1827,1.01,-12.56
,15.4,99.9,1829,1745,1.01,-12.9
,15.5,99.9,1823,1823,1.01,-11.98
,15.4,99.9,1831,1828,1.01,-12.48
,15.5,99.9,1818,1809,1.01,-12.31
,15.4,99.9,1751,1818,1.01,-12.31
,15.5,99.9,1830,1815,1.01,-11.73
,15.4,99.9,1815,1808,1.01,-12.15
,15.4,99.9,1829,1827,1.01,-12.23
,15.5,99.9,1827,1823,1.01,-11.4
,15.5,99.9,1817,1810,1.01,-12.4
,15.5,99.9,1834,1831,1.01,-11.9
,15.5,99.9,1825,1865,1.01,-12.48
,15.5,99.9,1827,1827,1.01,-12.15
,15.5,99.9,1761,1831,1.01,-12.73
,15.5,99.9,1837,1826,1.01,-12.56
,15.5,99.9,1826,1822,1.01,-12.56
,15.5,99.9,1826,1825,1.01,-12.31
,15.5,99.9,1841,1825,1.01,-12.23
,15.5,99.9,1831,1831,1.01,-12.56
,15.5,99.9,1857,1812,1.01,-12.65
,15.5,99.9,1826,1823,1.01,-12.48
,15.5,99.9,1835,1826,1.01,-11.65
,15.5,99.9,1808,1811,1.01,-12.56
,15.5,99.9,1824,1826,1.01,-12.56
,15.5,99.9,1821,1821,1.01,-12.23
,15.5,99.9,1827,1827,1.01,-12.81
,15.5,99.9,1827,1827,1.01,-12.98
,15.5,99.9,1830,1826,1.01,-12.31
,15.5,99.9,1827,1829,1.01,-12.4
,15.5,99.9,1822,1823,1.01,-12.31
,15.5,99.9,1830,1825,1.01,-12.48
,15.5,99.9,1818,1825,1.01,-12.73
,15.5,99.9,1828,1830,1.01,-12.73
,15.5,99.9,1830,1778,1.01,-12.81
,15.5,99.9,1825,1827,1.01,-12.48
,15.5,99.9,1827,1823,1.01,-12.15
,15.5,99.9,1815,1825,1.01,-12.23
,15.5,99.9,1827,1829,1.01,-11.98
,15.5,99.9,1813,1828,1.01,-11.98
,15.5,99.9,1851,1826,1.01,-12.31
,15.5,99.9,1787,1830,1.01,-12.56
,15.5,99.9,1808,1826,1.01,-12.48
,15.5,99.9,1814,1829,1.01,-12.9
,15.5,99.9,1814,1809,1.01,-12.4
,15.5,99.9,1824,1829,1.01,-12.23
,15.5,99.9,1827,1825,1.01,-12.31
,15.5,99.9,1826,1827,1.01,-12.56
,15.5,99.9,1822,1827,1.01,-12.81
,15.5,99.9,1826,1825,1.01,-11.98
,15.5,99.9,1825,1825,1.01,-12.31
,15.5,99.9,1819,1822,1.01,-12.15
,15.5,99.9,1824,1815,1.01,-12.81
,15.5,99.9,1831,1825,1.01,-12.4
,15.5,99.9,1825,1827,1.01,-12.81
,15.5,99.9,1829,1825,1.01,-12.4
,15.5,99.9,1831,1790,1.01,-13.23
,15.5,99.9,1826,1811,1.01,-12.48
,15.5,99.9,1819,1810,1.01,-12.31
,15.5,99.9,1825,1837,1.01,-12.56
,15.5,99.9,1826,1827,1.01,-12.9
,15.5,99.9,1825,1827,1.01,-13.15
,15.5,99.9,1818,1829,1.01,-12.81
,15.5,99.9,1826,1829,1.01,-12.31
,15.5,99.9,1811,1832,1.01,-12.56
,15.5,99.9,1829,1827,1.01,-12.9
,15.5,99.9,1821,1826,1.01,-12.65
,15.5,99.9,1829,1826,1.01,-12.9
,15.6,99.9,1827,1827,1.01,-12.9
,15.6,99.9,1808,1822,1.01,-12.81
,15.5,99.9,1827,1895,1.01,-12.65
,15.5,99.9,1849,1827,1.01,-11.9
,15.5,99.9,1822,1826,1.01,-12.31
,15.5,99.9,1824,1827,1.01,-12.73
,15.6,99.9,1822,1831,1.01,-12.81
,15.6,99.9,1826,1819,1.01,-12.73
,15.6,99.9,1837,1825,1.01,-11.9
,15.6,99.9,1819,1823,1.01,-12.81
,15.6,99.9,1823,1835,1.01,-12.9
,15.6,99.9,1825,1827,1.01,-13.56
,15.6,99.9,1830,1830,1.01,-12.65
,15.6,99.9,1827,1826,1.01,-12.06
,15.6,99.9,1822,1829,1.01,-12.73
,15.6,99.9,1823,1865,1.01,-12.23
,15.6,99.9,1819,1825,1.01,-12.48
,15.6,99.9,1818,1811,1.01,-12.15
,15.6,99.9,1826,1828,1.01,-12.65
,15.6,99.9,1821,1826,1.01,-12.9
,15.6,99.9,1825,1833,1.01,-12.73
,15.6,99.9,1822,1830,1.01,-12.06
,15.6,99.9,1810,1826,1.01,-12.56
,15.6,99.9,1809,1826,1.01,-12.65
,15.6,99.9,1823,1827,1.01,-12.31
,15.6,99.9,1821,1830,1.01,-12.65
,15.6,99.9,1817,1825,1.01,-12.06
,15.6,99.9,1831,1824,1.01,-12.56
,15.6,99.9,1825,1824,1.01,-12.65
,15.6,99.9,1823,1827,1.01,-12.48
,15.6,99.9,1824,1823,1.01,-12.56
,15.6,99.9,1809,1808,1.01,-12.31
,15.6,99.9,1827,1826,1.01,-12.4
,15.6,99.9,1826,1827,1.01,-12.65
,15.6,99.9,1827,1933,1.01,-12.56
,15.6,99.9,1826,1822,1.01,-12.73
,15.6,99.9,1835,1827,1.01,-12.81
,15.6,99.9,1815,1819,1.01,-12.23
,15.6,99.9,1825,1839,1.01,-12.48
,15.6,99.9,1826,1831,1.01,-12.65
,15.6,99.9,1823,1825,1.01,-12.31
,15.6,99.9,1819,1818,1.01,-12.31
,15.6,99.9,1815,1808,1.01,-11.9
,15.6,99.9,1814,1825,1.01,-11.9
,15.6,99.9,1815,1814,1.01,-12.56
,15.6,99.9,1830,1825,1.01,-12.31
,15.6,99.9,1829,1847,1.01,-11.82
,15.6,99.9,1822,1815,1.01,-13.23
,15.6,99.9,1813,1822,1.01,-12.56
,15.6,99.9,1819,1820,1.01,-12.23
,15.6,99.9,1759,1817,1.01,-12.98
,15.6,99.9,1819,1826,1.01,-12.56
,15.6,99.9,1829,1815,1.01,-12.48
,15.6,99.9,1825,1825,1.01,-12.06
,15.5,99.9,1819,1823,1.01,-12.81
,15.6,99.9,1822,1868,1.01,-12.31
,15.6,99.9,1825,1823,1.01,-12.81
,15.6,99.9,1830,1841,1.01,-12.73
,15.5,99.9,1831,1826,1.01,-12.06
,15.6,99.9,1819,1786,1.01,-12.81
,15.6,99.9,1824,1829,1.01,-12.15
,15.6,99.9,1826,1823,1.01,-12.06
,15.6,99.9,1827,1826,1.01,-12.06
,15.6,99.9,1825,1824,1.01,-11.9
,15.6,99.9,1813,1808,1.01,-12.81
,15.6,99.9,1822,1827,1.01,-12.56
,15.6,99.9,1818,1808,1.01,-11.57
,15.6,99.9,1823,1807,1.01,-12.15
,15.6,99.9,1823,1824,1.01,-11.9
,15.5,99.9,1823,1818,1.01,-12.4
,15.6,99.9,1825,1819,1.01,-12.31
,15.6,99.9,1823,1821,1.01,-12.48
,15.6,99.9,1823,1824,1.01,-11.57
,15.6,99.9,1825,1822,1.01,-12.48
,15.6,99.9,1824,1746,1.01,-12.15
,15.6,99.9,1814,1819,1.01,-11.48
,15.6,99.9,1823,1815,1.01,-12.31
,15.5,99.9,1823,1823,1.01,-12.31
,15.5,99.9,1823,1843,1.01,-11.98
,15.5,99.9,1824,1829,1.01,-12.06
,15.6,99.9,1814,1827,1.01,-12.65
,15.6,99.9,1811,1820,1.01,-12.73
,15.6,99.9,1818,1823,1.01,-12.56
,15.6,99.9,1823,1783,1.01,-12.4
,15.6,99.9,1827,1824,1.01,-12.06
,15.5,99.9,1810,1803,1.01,-12.23
,15.5,99.9,1824,1826,1.01,-12.65
,15.6,99.9,1821,1821,1.01,-11.98
,15.5,99.9,1827,1825,1.01,-11.9
,15.5,99.9,1825,1826,1.01,-11.98
,15.5,99.9,1813,1825,1.01,-12.15
,15.5,99.9,1827,1823,1.01,-11.9
,15.6,99.9,1822,1815,1.01,-12.15
,15.5,99.9,1828,1815,1.01,-12.31
,15.5,99.9,1808,1809,1.01,-11.98
,15.6,99.9,1814,1825,1.01,-12.15
,15.6,99.9,1822,1822,1.01,-12.06
,15.5,99.9,1821,1821,1.01,-11.57
,15.5,99.9,1822,1825,1.01,-12.15
,15.6,99.9,1822,1814,1.01,-12.15
,15.6,99.9,1825,1747,1.01,-12.4
,15.5,99.9,1814,1810,1.01,-12.15
,15.5,99.9,1817,1823,1.01,-12.06
,15.5,99.9,1824,1829,1.01,-12.15
,15.5,99.9,1817,1850,1.01,-11.73
,15.5,99.9,1821,1823,1.01,-12.48
,15.5,99.9,1815,1823,1.01,-12.15
,15.5,99.9,1814,1840,1.01,-12.56
,15.5,99.9,1825,1895,1.01,-12.4
,15.5,99.9,1810,1808,1.01,-12.06
,15.5,99.9,1815,1813,1.01,-12.4
,15.5,99.9,1819,1813,1.01,-12.65
,15.5,99.9,1823,1824,1.01,-12.73
,15.5,99.9,1825,1827,1.01,-11.98
,15.5,99.9,1822,1824,1.01,-12.23
,15.5,99.9,1805,1853,1.01,-12.48
,15.5,99.9,1829,1829,1.01,-12.73
,15.5,99.9,1833,1827,1.01,-11.98
,15.5,99.9,1826,1827,1.01,-12.31
,15.5,99.9,1825,1841,1.01,-12.48
,15.5,99.9,1819,1826,1.01,-12.4
,15.5,99.9,1817,1827,1.01,-12.56
,15.5,99.9,1818,1808,1.01,-12.56
,15.5,99.9,1819,1824,1.01,-12.23
,15.5,99.9,1816,1824,1.01,-11.73
,15.5,99.9,1808,1820,1.01,-12.15
,15.5,99.9,1808,1807,1.01,-11.65
,15.5,99.9,1807,1818,1.01,-12.31
,15.5,99.9,1821,1831,1.01,-11.32
,15.5,99.9,1819,1819,1.01,-11.57
,15.5,99.9,1807,1824,1.01,-11.73
,15.5,99.9,1823,1826,1.01,-11.73
,15.5,99.9,1822,1830,1.01,-11.65
,15.5,99.9,1825,1857,1.01,-11.23
,15.5,99.9,1822,1826,1.01,-11.07
,15.5,99.9,1826,1825,1.01,-12.06
,15.5,99.9,1815,1815,1.01,-11.57
,15.5,99.9,1818,1830,1.01,-11.9
,15.5,99.9,1815,1819,1.01,-11.82
,15.5,99.9,1821,1824,1.01,-11.73
,15.5,99.9,1811,1810,1.01,-11.9
,15.5,99.9,1808,1811,1.01,-12.06
,15.5,99.9,1821,1819,1.01,-11.9
,15.5,99.9,1827,1826,1.01,-12.06
,15.5,99.9,1808,1810,1.01,-11.65
,15.5,99.9,1814,1823,1.01,-11.4
,15.5,99.9,1807,1808,1.01,-11.82
,15.5,99.9,1810,1808,1.01,-12.23
,15.5,99.9,1826,1822,1.01,-12.4
,15.4,99.9,1807,1806,1.01,-11.57
,15.5,99.9,1825,1822,1.01,-11.9
,15.5,99.9,1794,1831,1.01,-11.07
,15.5,99.9,1808,1811,1.01,-11.82
,15.5,99.9,1818,1847,1.01,-11.65
,15.4,99.9,1821,1818,1.01,-11.57
,15.5,99.9,1818,1823,1.01,-11.57
,15.4,99.9,1817,1821,1.01,-12.4
,15.5,99.9,1819,1825,1.01,-10.9
,15.4,99.9,1814,1823,1.01,-11.65
,15.4,99.9,1808,1805,1.01,-11.57
,15.4,99.9,1803,1829,1.01,-11.73
,15.4,99.9,1808,1806,1.01,-11.32
,15.4,99.9,1823,1825,1.01,-11.82
,15.4,99.9,1819,1827,1.01,-11.57
,15.4,99.9,1714,1827,1.01,-11.4
,15.4,99.9,1818,1824,1.01,-11.48
,15.4,99.9,1817,1826,1.01,-11.82
,15.4,99.9,1816,1817,1.01,-11.48
,15.5,99.9,1805,1827,1.01,-11.65
,15.4,99.9,1819,1843,1.01,-12.06
,15.5,99.9,1817,1821,1.01,-11.73
,15.4,99.9,1808,1829,1.01,-11.73
,15.4,99.9,1842,1823,1.01,-11.98
,15.4,99.9,1819,1823,1.01,-11.32
,15.4,99.9,1818,1822,1.01,-11.9
,15.4,99.9,1818,1819,1.01,-11.9
,15.4,99.9,1817,1822,1.01,-11.15
,15.4,99.9,1819,1829,1.01,-12.06
,15.4,99.9,1813,1822,1.01,-11.07
,15.4,99.9,1827,1815,1.01,-11.48
,15.5,99.9,1815,1790,1.01,-11.82
,15.4,99.9,1815,1822,1.01,-12.06
,15.4,99.9,1819,1836,1.01,-11.15
,15.4,99.9,1817,1819,1.01,-11.48
,15.4,99.9,1818,1821,1.01,-11.4
,15.4,99.9,1818,1828,1.01,-11.82
,15.4,99.9,1806,1808,1.01,-11.15
,15.4,99.9,1809,1823,1.01,-12.31
,15.4,99.9,1814,1825,1.01,-10.98
,15.4,99.9,1824,1822,1.01,-11.4
,15.4,99.9,1825,1823,1.01,-11.57
,15.4,99.9,1817,1823,1.01,-11.23
,15.4,99.9,1821,1817,1.01,-11.9
,15.4,99.9,1808,1802,1.01,-11.82
,15.4,99.9,1806,1823,1.01,-11.82
,15.4,99.9,1818,1823,1.01,-11.32
,15.4,99.9,1821,1822,1.01,-11.48
,15.4,99.9,1819,1824,1.01,-11.32
,15.4,99.9,1817,1827,1.01,-11.48
,15.4,99.9,1815,1823,1.01,-11.98
,15.4,99.9,1808,1822,1.01,-11.4
,15.4,99.9,1811,1823,1.01,-11.48
,15.4,99.9,1818,1825,1.01,-11.73
,15.4,99.9,1822,1827,1.01,-11.57
,15.4,99.9,1856,1820,1.01,-11.57
,15.4,99.9,1818,1827,1.01,-11.98
,15.4,99.9,1817,1815,1.01,-11.9
,15.4,99.9,1815,1821,1.01,-11.9
,15.4,99.9,1814,1822,1.01,-11.65
,15.4,99.9,1799,1808,1.01,-11.73
,15.4,99.9,1815,1824,1.01,-11.98
,15.4,99.9,1821,1818,1.01,-12.06
,15.4,99.9,1819,1822,1.01,-11.65
,15.4,99.9,1811,1820,1.01,-11.23
,15.4,99.9,1814,1822,1.01,-11.98
,15.5,99.9,1823,1823,1.01,-12.15
,15.4,99.9,1808,1850,1.01,-11.65
,15.4,99.9,1817,1823,1.01,-12.31
,15.4,99.9,1765,1825,1.01,-11.4
,15.4,99.9,1813,1827,1.01,-11.57
,15.4,99.9,1817,1827,1.01,-11.73
,15.4,99.9,1831,1818,1.01,-11.73
,15.5,99.9,1813,1822,1.01,-11.57
,15.4,99.9,1803,1812,1.01,-11.4
,15.4,99.9,1821,1821,1.01,-11.57
,15.4,99.9,1822,1818,1.01,-11.48
,15.4,99.9,1821,1858,1.01,-11.48
,15.5,99.9,1810,1824,1.01,-11.57
,15.4,99.9,1794,1825,1.01,-11.65
,15.5,99.9,1914,1823,1.01,-11.4
,15.5,99.9,1818,1822,1.01,-11.4
,15.5,99.9,1797,1813,1.01,-11.32
,15.5,99.9,1815,1814,1.01,-10.48
,15.4,99.9,1811,1818,1.01,-11.48
,15.5,99.9,1822,1817,1.01,-11.73
,15.5,99.9,1823,1824,1.01,-10.98
,15.5,99.9,1763,1821,1.01,-11.32
,15.5,99.9,1808,1808,1.01,-11.48
,15.5,99.9,1803,1821,1.01,-11.15
,15.5,99.9,1802,1809,1.01,-10.73
,15.5,99.9,1817,1825,1.01,-10.57
,15.5,99.9,1777,1830,1.01,-10.4
,15.5,99.9,1818,1827,1.01,-11.32
,15.5,99.9,1813,1823,1.01,-10.48
,15.5,99.9,1810,1796,1.01,-11.23
,15.5,99.9,1799,1816,1.01,-11.15
,15.5,99.9,1813,1818,1.01,-11.15
,15.5,99.9,1751,1824,1.01,-11.4
,15.5,99.9,1808,1826,1.01,-11.23
,15.5,99.9,1814,1828,1.01,-11.07
,15.5,99.9,1807,1823,1.01,-11.15
,15.5,99.9,1815,1827,1.01,-10.98
,15.5,99.9,1813,1820,1.01,-10.98
,15.5,99.9,1811,1826,1.01,-10.32
,15.5,99.9,1811,1824,1.01,-11.23
,15.5,99.9,1849,1830,1.01,-10.65
,15.5,99.9,1819,1824,1.01,-10.98
,15.5,99.9,1808,1817,1.01,-10.73
,15.5,99.9,1819,1826,1.01,-11.32
,15.5,99.9,1817,1814,1.01,-11.07
,15.5,99.9,1815,1821,1.01,-11.15
,15.5,99.9,1808,1783,1.01,-11.07
,15.5,99.9,1819,1824,1.01,-11.15
,15.5,99.9,1813,1814,1.01,-11.32
,15.5,99.9,1815,1808,1.01,-10.73
,15.5,99.9,1815,1814,1.01,-10.48
,15.5,99.9,1818,1825,1.01,-10.73
,15.5,99.9,1819,1826,1.01,-11.4
,15.5,99.9,1817,1823,1.01,-11.82
,15.5,99.9,1810,1822,1.01,-10.82
,15.5,99.9,1814,1824,1.01,-11.57
,15.5,99.9,1821,1831,1.01,-10.9
,15.5,99.9,1817,1827,1.01,-11.32
,15.6,99.9,1815,1825,1.01,-11.32
,15.6,99.9,1806,1823,1.01,-10.9
,15.6,99.9,1817,1825,1.01,-11.57
,15.5,99.9,1812,1823,1.01,-11.23
,15.6,99.9,1812,1826,1.01,-11.4
,15.6,99.9,1818,1824,1.01,-10.98
,15.6,99.9,1817,1829,1.01,-11.65
,15.6,99.9,1818,1814,1.01,-10.82
,15.6,99.9,1811,1826,1.01,-10.9
,15.6,99.9,1802,1806,1.01,-11.4
,15.6,99.9,1811,1819,1.01,-10.48
,15.6,99.9,1815,1823,1.01,-10.48
,15.6,99.9,1813,1829,1.01,-10.24
,15.6,99.9,1817,1823,1.01,-11.07
,15.6,99.9,1814,1823,1.01,-10.65
,15.6,99.9,1810,1826,1.01,-10.4
,15.6,99.9,1795,1821,1.01,-10.82
,15.6,99.9,1774,1824,1.01,-9.9
,15.6,99.9,1815,1817,1.01,-10.9
,15.6,99.9,1818,1826,1.01,-10.98
,15.6,99.9,1818,1820,1.01,-10.65
,15.6,99.9,1820,1824,1.01,-10.82
,15.6,99.9,1803,1807,1.01,-11.15
,15.6,99.9,1820,1756,1.01,-9.82
,15.6,99.9,1797,1819,1.01,-10.98
,15.6,99.9,1819,1825,1.01,-10.9
,15.6,99.9,1810,1809,1.01,-10.65
,15.6,99.9,1817,1819,1.01,-10.32
,15.6,99.9,1808,1902,1.01,-10.82
,15.6,99.9,1808,1845,1.01,-11.32
,15.6,99.9,1805,1808,1.01,-11.23
,15.6,99.9,1813,1827,1.01,-10.65
,15.6,99.9,1813,1821,1.01,-10.57
,15.6,99.9,1831,1865,1.01,-10.65
,15.6,99.9,1813,1822,1.01,-10.82
,15.6,99.9,1798,1826,1.01,-9.9
,15.6,99.9,1814,1821,1.01,-10.65
,15.6,99.9,1811,1827,1.01,-10.82
,15.6,99.9,1817,1822,1.01,-11.23
,15.6,99.9,1813,1824,1.01,-10.32
,15.6,99.9,1818,1821,1.01,-10.65
,15.6,99.9,1817,1819,1.01,-10.4
,15.6,99.9,1813,1818,1.01,-10.82
,15.6,99.9,1811,1822,1.01,-10.4
,15.6,99.9,1811,1822,1.01,-10.82
,15.6,99.9,1813,1823,1.01,-10.32
,15.6,99.9,1814,1823,1.01,-10.32
,15.6,99.9,1807,1809,1.01,-10.07
,15.6,99.9,1817,1825,1.01,-10.65
,15.6,99.9,1814,1817,1.01,-9.82
,15.6,99.9,1798,1808,1.01,-10.48
,15.6,99.9,1808,1811,1.01,-10.24
,15.6,99.9,1808,1824,1.01,-10.24
,15.6,99.9,1815,1821,1.01,-10.32
,15.6,99.9,1808,1818,1.01,-9.82
,15.6,99.9,1808,1817,1.01,-9.65
,15.6,99.9,1811,1827,1.01,-10.07
,15.6,99.9,1810,1825,1.01,-10.24
,15.6,99.9,1809,1814,1.01,-10.48
,15.6,99.9,1801,1804,1.01,-10.24
,15.6,99.9,1814,1815,1.01,-10.4
,15.6,99.9,1811,1808,1.01,-10.15
,15.6,99.9,1814,1825,1.01,-10.24
,15.6,99.9,1810,1819,1.01,-10.24
,15.6,99.9,1808,1822,1.01,-9.65
,15.6,99.9,1814,1817,1.01,-10.32
,15.6,99.9,1808,1808,1.01,-9.65
,15.6,99.9,1815,1821,1.01,-10.57
,15.6,99.9,1813,1827,1.01,-9.82
,15.6,99.9,1815,1823,1.01,-9.9
,15.6,99.9,1814,1825,1.01,-10.07
,15.6,99.9,1811,1820,1.01,-9.49
,15.6,99.9,1817,1824,1.01,-9.57
,15.6,99.9,1821,1818,1.01,-9.82
,15.6,99.9,1811,1808,1.01,-9.9
,15.6,99.9,1811,1821,1.01,-10.07
,15.6,99.9,1791,1821,1.01,-9.74
,15.6,99.9,1808,1824,1.01,-9.57
,15.6,99.9,1862,1824,1.01,-9.32
,15.6,99.9,1808,1807,1.01,-9.9
,15.6,99.9,1808,1808,1.01,-9.65
,15.6,99.9,1806,1808,1.01,-10.07
,15.6,99.9,1815,1830,1.01,-8.99
,15.6,99.9,1807,1840,1.01,-9.65
,15.6,99.9,1810,1810,1.01,-10.24
,15.6,99.9,1811,1822,1.01,-9.99
,15.6,99.9,1803,1808,1.01,-9.65
,15.6,99.9,1810,1818,1.01,-9.57
,15.6,99.9,1809,1826,1.01,-9.9
,15.6,99.9,1810,1823,1.01,-9.15
,15.6,99.9,1811,1825,1.01,-10.15
,15.6,99.9,1815,1835,1.01,-10.07
,15.6,99.9,1813,1820,1.01,-9.74
,15.6,99.9,1815,1808,1.01,-9.74
,15.6,99.9,1808,1808,1.01,-9.4
,15.6,99.9,1810,1822,1.01,-9.4
,15.6,99.9,1821,1821,1.01,-9.57
,15.6,99.9,1815,1805,1.01,-10.15
,15.6,99.9,1790,1813,1.01,-9.74
,15.6,99.9,1808,1815,1.01,-9.57
,15.6,99.9,1805,1805,1.01,-9.9
,15.6,99.9,1809,1813,1.01,-9.57
,15.6,99.9,1835,1821,1.01,-9.15
,15.6,99.9,1794,1827,1.01,-9.49
,15.6,99.9,1808,1824,1.01,-9.07
,15.6,99.9,1811,1823,1.01,-9.4
,15.6,99.9,1818,1813,1.01,-9.57
,15.6,99.9,1815,1808,1.01,-9.4
,15.6,99.9,1857,1815,1.01,-9.4
,15.6,99.9,1819,1819,1.01,-9.74
,15.6,99.9,1809,1817,1.01,-9.32
,15.6,99.9,1810,1823,1.01,-9.15
,15.5,99.9,1809,1819,1.01,-8.99
,15.6,99.9,1808,1824,1.01,-9.07
,15.6,99.9,1807,1821,1.01,-8.99
,15.6,99.9,1809,1831,1.01,-8.9
,15.6,99.9,1804,1823,1.01,-9.24
,15.6,99.9,1812,1819,1.01,-9.24
,15.5,99.9,1815,1813,1.01,-9.49
,15.5,99.9,1815,1819,1.01,-9.82
,15.5,99.9,1802,1819,1.01,-9.15
,15.6,99.9,1812,1809,1.01,-9.49
,15.5,99.9,1808,1813,1.01,-8.49
,15.5,99.9,1791,1840,1.01,-9.57
,15.5,99.9,1809,1823,1.01,-9.65
,15.5,99.9,1877,1825,1.01,-9.4
,15.5,99.9,1808,1825,1.01,-8.66
,15.5,99.9,1797,1811,1.01,-8.9
,15.5,99.9,1803,1807,1.01,-8.66
,15.5,99.9,1808,1825,1.01,-8.24
,15.5,99.9,1808,1827,1.01,-8.57
,15.5,99.9,1805,1811,1.01,-8.9
,15.5,99.9,1811,1818,1.01,-9.4
,15.5,99.9,1813,1820,1.01,-9.15
,15.5,99.9,1795,1805,1.01,-9.57
,15.5,99.9,1808,1808,1.01,-9.82
,15.5,99.9,1808,1808,1.01,-9.07
,15.5,99.9,1807,1820,1.01,-9.4
,15.5,99.9,1808,1807,1.01,-9.57
,15.5,99.9,1810,1822,1.01,-9.07
,15.5,99.9,1809,1823,1.01,-9.49
,15.5,99.9,1808,1826,1.01,-9.74
,15.5,99.9,1808,1810,1.01,-9.57
,15.5,99.9,1808,1819,1.01,-8.82
,15.5,99.9,1748,1825,1.01,-9.15
,15.5,99.9,1808,1825,1.01,-9.07
,15.5,99.9,1805,1818,1.01,-9.24
,15.5,99.9,1811,1823,1.01,-9.57
,15.5,99.9,1803,1746,1.01,-9.65
,15.5,99.9,1791,1821,1.01,-9.99
,15.5,99.9,1808,1819,1.01,-9.74
,15.5,99.9,1809,1861,1.01,-9.49
,15.5,99.9,1813,1809,1.01,-9.74
,15.5,99.9,1803,1815,1.01,-9.74
,15.5,99.9,1813,1817,1.01,-9.4
,15.5,99.9,1812,1811,1.01,-9.57
,15.5,99.9,1813,1819,1.01,-9.57
,15.5,99.9,1810,1819,1.01,-9.99
,15.5,99.9,1809,1839,1.01,-9.57
,15.5,99.9,1808,1813,1.01,-9.32
,15.5,99.9,1810,1818,1.01,-9.65
,15.5,99.9,1803,1813,1.01,-9.9
,15.5,99.9,1808,1824,1.01,-9.4
,15.5,99.9,1799,1811,1.01,-9.57
,15.5,99.9,1806,1824,1.01,-10.24
,15.5,99.9,1808,1822,1.01,-8.99
,15.5,99.9,1806,1817,1.01,-9.57
,15.5,99.9,1795,1809,1.01,-9.82
,15.5,99.9,1808,1819,1.01,-8.9
,15.5,99.9,1809,1825,1.01,-10.24
,15.5,99.9,1808,1825,1.01,-9.07
